Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
PEL,SP2,35,Warkworth Police Station,1993-01-21T11:00:00Z,2001-07-18T12:00:00Z
PEL,SP2,36,Levin Telephone Exchange,1964-02-11T12:00:00Z,1966-04-24T12:00:00Z
PEL,SP2,36,Auckland University,1972-05-01T12:00:00Z,1999-06-14T12:00:00Z
PEL,SP2,37,Auckland Birkenhead Telephone Exchange,1964-02-19T12:00:00Z,1969-09-30T12:00:00Z
PEL,SP2,37,Ngawihi Fish Processing Factory,1990-10-15T11:00:00Z,2001-06-25T12:00:00Z
PEL,SP2,38,Auckland Manurewa Telephone Exchange,1964-02-19T12:00:00Z,1969-09-30T12:00:00Z
PEL,SP2,38,Castlepoint Tsunami,1969-12-04T12:00:00Z,1990-08-06T12:00:00Z
PEL,SP2,38,Castlepoint Tsunami,1969-12-04T12:00:00Z,1990-08-06T12:00:00Z
PEL,SP2,38,Castlepoint Fire Station,1990-08-06T12:00:00Z,2001-06-25T12:00:00Z
PEL,SP2,39,Timaru Telephone Exchange,1964-12-30T12:00:00Z,1969-07-22T12:00:00Z
PEL,SP2,39,Auckland Manurewa Telephone Exchange,1969-09-30T12:00:00Z,2002-09-01T12:00:00Z
PEL,SP2,40,Opotiki Telephone Exchange,1966-01-24T12:00:00Z,1992-05-10T12:00:00Z
PEL,SP2,40,Opotiki Shell Service Station,1992-05-10T12:00:00Z,1994-12-10T11:00:00Z
PEL,SP2,41,Martinborough Old Post Office,1964-11-08T12:00:00Z,1968-12-08T12:00:00Z
PEL,SP2,41,Fox Glacier Park Headquarters,1971-10-31T12:00:00Z,1982-05-27T12:00:00Z
PEL,SP2,42,Tolaga Bay Police Station,1966-01-24T12:00:00Z,1980-03-26T12:00:00Z
PEL,SP2,42,Tolaga Bay Post Office,1980-03-26T12:00:00Z,2002-07-31T12:00:00Z
PEL,SP2,43,Taupo Post Office,1966-01-25T12:00:00Z,1966-04-23T12:00:00Z
PEL,SP2,43,Paraparaumu Repeater Station,1966-04-27T12:00:00Z,1976-07-19T12:00:00Z
PEL,SP2,43,Paraparaumu Telephone Exchange,1976-07-19T12:00:00Z,1993-06-10T12:00:00Z
PEL,SP2,44,Napier Telephone Exchange Marewa,1966-01-23T12:00:00Z,1987-06-14T12:00:00Z
PEL,SP2,44,Napier Museum,1988-04-11T12:00:00Z,2001-06-11T12:00:00Z
PEL,SP2,45,Dunedin St. Clair Telephone Exchange,1965-01-02T12:00:00Z,1969-07-21T12:00:00Z
PEL,SP2,45,Whangarei Old Telephone Exchange,1969-09-26T12:00:00Z,1989-09-21T12:00:00Z
PEL,SP2,45,Whangarei Telephone Exchange,1989-09-21T12:00:00Z,2001-07-18T12:00:00Z
PEL,SP2,46,Dunedin Chief Post Office,1965-01-01T12:00:00Z,1969-07-21T12:00:00Z
PEL,SP2,46,Wellsford Telephone Exchange,1969-09-26T12:00:00Z,1974-12-05T11:00:00Z
PEL,SP2,47,Gisborne Telephone Exchange,1966-01-24T12:00:00Z,1993-07-21T12:00:00Z
PEL,SP2,47,Fairlie District Council Garage,1994-02-17T11:00:00Z,2002-07-04T12:00:00Z
PEL,SP2,48,Tuai Power Station,1973-06-13T12:00:00Z,1993-07-20T12:00:00Z
PEL,SP2,48,Tuai Power Station,1993-07-20T12:00:00Z,2005-02-10T11:00:00Z
PEL,SP2,49,Wairoa Post Office,1966-01-23T12:00:00Z,1974-04-05T12:00:00Z
PEL,SP2,49,Wairoa Telephone Exchange,1975-07-14T12:00:00Z,2002-07-30T12:00:00Z
PEL,SP2,50,Rotorua Old Telephone Exchange,1966-01-24T12:00:00Z,1966-04-22T12:00:00Z
PEL,SP2,50,Te Anau Post Office,1969-07-19T12:00:00Z,1970-07-26T12:00:00Z
PEL,SP2,50,Te Anau Fire Station,1970-07-26T12:00:00Z,2002-04-15T12:00:00Z
PEL,SP2,51,Auckland Te Atatu Telephone Exchange,1964-10-28T12:00:00Z,1965-09-02T12:00:00Z
PEL,SP2,51,Invercargill Telephone Exchange,1969-07-20T12:00:00Z,2002-04-23T12:00:00Z
PEL,SP2,52,Hamilton Chief Post Office,1966-04-20T12:00:00Z,1989-04-18T12:00:00Z
PEL,SP2,52,Hamilton Police Station,1989-09-23T12:00:00Z,2001-07-20T12:00:00Z
PEL,SP2,53,Waverley Post Office,1964-12-21T12:00:00Z,1969-11-30T12:00:00Z
PEL,SP2,53,Awakino Post Office,1970-06-22T12:00:00Z,1985-11-27T11:00:00Z
PEL,SP2,53,Mokau Post Office,1985-11-27T11:00:00Z,1991-04-30T12:00:00Z
PEL,SP2,53,Mokau Riviera Resturant,1991-04-30T12:00:00Z,2001-12-10T11:00:00Z
PEL,SP2,54,Mossburn Post Office,1965-01-04T12:00:00Z,1969-07-19T12:00:00Z
PEL,SP2,54,Pahiatua Telephone Exchange,1969-08-17T12:00:00Z,1990-05-14T12:00:00Z
PEL,SP2,54,Pahiatua Valley Motors,1990-05-14T12:00:00Z,2002-07-28T12:00:00Z
PEL,SP2,55,Gisborne Telephone Exchange,1964-11-05T12:00:00Z,1966-01-24T12:00:00Z
PEL,SP2,55,Christchurch International Airport,1969-07-23T12:00:00Z,2001-05-08T12:00:00Z
PEL,SP2,56,Palmerston North Telephone Exchange,1964-10-19T12:00:00Z,1969-11-30T12:00:00Z
PEL,SP2,56,Taupo Police,1971-04-14T12:00:00Z,1999-04-29T12:00:00Z
PEL,SP2,58,Ashburton Telephone Exchange,1969-07-14T12:00:00Z,2001-04-03T12:00:00Z
PEL,SP2,59,Invercargill Telephone Exchange,1965-01-04T12:00:00Z,1969-07-20T12:00:00Z
PEL,SP2,59,Mohaka Bridge,1969-08-23T12:00:00Z,1972-11-14T12:00:00Z
PEL,SP2,60,Te Kuiti Post Office,1966-04-20T12:00:00Z,2001-12-10T11:00:00Z
PEL,SP2,61,Mohaka Bridge,1964-11-24T12:00:00Z,1969-08-23T12:00:00Z
PEL,SP2,61,New Plymouth Post Office,1969-12-02T12:00:00Z,2001-12-10T11:00:00Z
PEL,SP2,62,Auckland Te Atatu Telephone Exchange,1965-09-02T12:00:00Z,1969-09-28T12:00:00Z
PEL,SP2,62,Haast Telephone Exchange Generator Room,1970-06-30T12:00:00Z,1993-03-04T11:00:00Z
PEL,SP2,62,Haast DOC workshop,1993-03-04T11:00:00Z,2001-08-25T12:00:00Z
PEL,SP2,63,Mount Cook Hermitage,1965-01-06T12:00:00Z,1969-07-16T12:00:00Z
PEL,SP2,63,Waipawa Post Office,1969-08-17T12:00:00Z,1971-09-14T12:00:00Z
PEL,SP2,63,Wellington Parliament Buildings,1992-09-03T12:00:00Z,1995-05-22T12:00:00Z
PEL,SP2,64,Castlepoint Tsunami,1964-10-14T12:00:00Z,1969-12-04T12:00:00Z
PEL,SP2,64,Castlepoint Tsunami,1964-10-14T12:00:00Z,1969-12-04T12:00:00Z
PEL,SP2,65,Balclutha Post Office,1965-01-03T12:00:00Z,1969-07-21T12:00:00Z
PEL,SP2,65,Gisborne Telephone Exchange,1993-07-21T12:00:00Z,2002-07-30T12:00:00Z
PEL,SP2,66,Wanganui Post Office,1964-12-21T12:00:00Z,1966-04-24T12:00:00Z
PEL,SP2,66,Dunedin St. Clair Telephone Exchange,1969-07-21T12:00:00Z,1989-06-28T12:00:00Z
PEL,SP2,66,Dunedin St. Kilda Fire Station,1989-06-28T12:00:00Z,2002-04-13T12:00:00Z
PEL,SP2,67,Omarama Store,1965-01-06T12:00:00Z,1969-07-15T12:00:00Z
PEL,SP2,68,Roxburgh Gallery,1965-01-03T12:00:00Z,1969-07-17T12:00:00Z
PEL,SP2,68,Auckland Birkenhead Telephone Exchange,1969-09-30T12:00:00Z,2002-09-03T12:00:00Z
PEL,SP2,70,Awakino Post Office,1964-12-20T12:00:00Z,1968-05-27T12:00:00Z
PEL,SP2,70,IRL Gracefield Campus,1986-07-07T12:00:00Z,2002-08-13T12:00:00Z
PEL,SP2,71,Tolaga Bay Police Station,1964-11-05T12:00:00Z,1966-01-24T12:00:00Z
PEL,SP2,71,Gore Telephone Exchange,1969-07-20T12:00:00Z,1993-06-21T12:00:00Z
PEL,SP2,71,Gore Police Station,1993-06-21T12:00:00Z,2002-04-11T12:00:00Z
PEL,SP2,73,Otaki Telephone Exchange,1966-04-27T12:00:00Z,2001-12-09T11:00:00Z
PEL,SP2,74,Levin Telephone Exchange,1966-04-24T12:00:00Z,2001-12-09T11:00:00Z
PEL,SP2,75,Wanganui Post Office,1966-04-24T12:00:00Z,2001-12-09T11:00:00Z
PEL,SP2,76,Dannevirke Telephone Exchange,1964-11-07T12:00:00Z,1969-08-17T12:00:00Z
PEL,SP2,77,Waihi Telephone Exchange,1966-04-21T12:00:00Z,2002-09-01T12:00:00Z
PEL,SP2,78,Paraparaumu Repeater Station,1964-11-08T12:00:00Z,1966-04-27T12:00:00Z
PEL,SP2,78,Masterton Telephone Exchange,1968-12-08T12:00:00Z,1976-01-28T11:00:00Z
PEL,SP2,78,Masterton Telephone Exchange,1976-05-31T12:00:00Z,2002-07-28T12:00:00Z
PEL,SP2,79,Mossburn Post Office,1969-07-19T12:00:00Z,1985-05-26T12:00:00Z
PEL,SP2,79,Mossburn Motors,1985-05-26T12:00:00Z,2001-02-23T11:00:00Z
PEL,SP2,80,Queenstown Telephone Exchange,1969-07-18T12:00:00Z,1988-10-30T11:00:00Z
PEL,SP2,80,Queenstown Telephone Exchange,1988-10-30T11:00:00Z,2004-03-21T12:00:00Z
PEL,SP2,81,Rotorua Old Telephone Exchange,1966-04-22T12:00:00Z,1969-09-23T12:00:00Z
PEL,SP2,81,Rotorua Telephone Exchange,1969-09-23T12:00:00Z,1982-04-18T12:00:00Z
PEL,SP2,81,Rotorua Police Station,1982-04-18T12:00:00Z,1983-04-20T12:00:00Z
PEL,SP2,82,Te Anau Post Office,1965-01-04T12:00:00Z,1969-07-19T12:00:00Z
PEL,SP2,82,Auckland Te Atatu Telephone Exchange,1969-09-28T12:00:00Z,2002-09-03T12:00:00Z
PEL,SP2,83,Waipawa Post Office,1964-11-07T12:00:00Z,1969-08-17T12:00:00Z
PEL,SP2,83,Waverley Post Office,1969-11-30T12:00:00Z,1980-07-20T12:00:00Z
PEL,SP2,84,Mount Cook Hermitage,1969-07-16T12:00:00Z,1987-06-04T12:00:00Z
PEL,SP2,84,Mount Cook National Park Headquarters,1987-06-04T12:00:00Z,2000-04-13T12:00:00Z
PEL,SP2,85,Gore Telephone Exchange,1965-01-03T12:00:00Z,1969-07-20T12:00:00Z
PEL,SP2,85,Coleridge Power Station,1971-08-17T12:00:00Z,2001-08-16T12:00:00Z
PEL,SP2,86,Christchurch International Airport,1964-12-28T12:00:00Z,1969-07-23T12:00:00Z
PEL,SP2,86,Auckland Central Post Office,1969-09-29T12:00:00Z,1976-12-01T11:00:00Z
PEL,SP2,86,Maui A Offshore Tower,1978-07-25T12:00:00Z,1998-04-21T12:00:00Z
PEL,SP2,87,Hawera Telephone Exchange,1964-12-20T12:00:00Z,1968-05-26T12:00:00Z
PEL,SP2,87,Thames Milk Treatment Plant,1970-09-09T12:00:00Z,1981-07-20T12:00:00Z
PEL,SP2,88,Oamaru Telephone Exchange,1965-01-01T12:00:00Z,1969-07-22T12:00:00Z
PEL,SP2,88,Te Kauwhata Post Office,1969-09-30T12:00:00Z,1989-09-19T12:00:00Z
PEL,SP2,89,Napier Telephone Exchange Marewa,1964-11-04T12:00:00Z,1966-01-23T12:00:00Z
PEL,SP2,89,Timaru Telephone Exchange,1969-07-22T12:00:00Z,2004-03-23T12:00:00Z
PEL,SP2,90,Omarama Store,1969-07-15T12:00:00Z,2004-03-19T11:00:00Z
PEL,SP2,91,New Plymouth Post Office Line Depot,1964-12-20T12:00:00Z,1969-12-02T12:00:00Z
PEL,SP2,92,Ashburton Telephone Exchange,1964-12-29T12:00:00Z,1969-07-14T12:00:00Z
PEL,SP2,92,Dannevirke Telephone Exchange,1969-08-17T12:00:00Z,1990-04-02T12:00:00Z
PEL,SP2,92,Dannevirke Post Office,1990-04-02T12:00:00Z,2001-01-08T11:00:00Z
PEL,SP2,93,Oamaru Telephone Exchange,1969-07-22T12:00:00Z,1992-02-12T11:00:00Z
PEL,SP2,93,Oamaru North Otago Museum,1992-02-12T11:00:00Z,2002-02-09T11:00:00Z
PEL,SP2,94,Dunedin Chief Post Office,1969-07-21T12:00:00Z,1997-06-30T12:00:00Z
PEL,SP2,95,Wairoa Post Office,1964-11-04T12:00:00Z,1966-01-23T12:00:00Z
PEL,SP2,95,Martinborough Old Post Office,1968-12-08T12:00:00Z,1975-11-17T11:00:00Z
PEL,SP2,95,Martinborough Post Office,1975-11-17T11:00:00Z,1999-06-03T12:00:00Z
PEL,SP2,99,Queenstown Telephone Exchange,1965-01-05T12:00:00Z,1969-07-18T12:00:00Z
